Stock,Sector,Last Price (₹),Predicted 2-Day Return (%),Recent Volatility (%),Weight (%),Allocated Amount (₹),Shares to Buy
RELIANCE,Energy,1539.8,-9.27,0.7646,6.36,63131.8,41
HDFCBANK,Banking,990.9,3.12,0.7239,30.27,302224.51,305
INFY,IT,1621.6,0.93,1.2153,11.0,108647.2,67
SUNPHARMA,Pharma,1709.1,1.85,0.9491,19.06,189709.88,111
MARUTI,Auto,16647.0,-23.21,0.9241,5.26,49941.0,3
ITC,FMCG,392.38,2.06,0.5367,24.57,245627.82,626
TATASTEEL,Metals,175.8,-13.9,1.3898,3.5,34808.4,198
TOTAL,,,,,100.0,994090.61,
